"","id","first","last","hand","DOB","country","year","month","day"
"4426","204425","Simone","Alipieva","R",NA,"DEN",1998,1,10
"4427","204426","Anett","Kontaveit","R",NA,"EST",1995,12,24
"4428","204427","Sara","Sorribes Tormo","R",NA,"ESP",1996,10,8
"4429","204428","Miriam","Civera Lima","U",NA,"ESP",1995,12,18
"4430","204429","Ghita","Benhadi","U",NA,"MAR",1998,2,15
"4431","204430","Antonia","Lottner","R",NA,"GER",1996,8,13
"4432","204431","Anna Lena","Friedsam","R",NA,"GER",1994,2,1
"4433","204432","Kriszina","Kapitany","R",NA,"HUN",1993,10,8
"4434","204433","Syna","Kayser","R",NA,"GER",1990,5,5
"4435","204434","Ysaline","Bonaventure","L",NA,"BEL",1994,8,29
"4436","204435","Emma","Devine","U",NA,"GBR",1994,12,16
"4437","204436","Jessica","Ren","R",NA,"GBR",1994,8,23
"4438","204437","Daneika","Borthwick","R",NA,"GBR",1993,5,14
"4439","204438","Sabrina","Bamburac","R",NA,"GBR",1993,5,24
"4440","204439","Oana Elena","Golimbioschi","R",NA,"ROU",1980,5,21
"4441","204440","Katia","Altilia","U",NA,"ITA",1977,5,7
"4442","204441","Annat","El Azari","U",NA,"ISR",1982,10,8
"4443","204442","Cheli","Bargil","U",NA,"ISR",1983,9,12
"4444","204443","Esther","Brunn","U",NA,"GER",1979,2,18
"4445","204444","Alina","Tecsor","U",NA,"ROU",1979,10,24
"4446","204445","Sandra","Mantler","U",NA,"AUT",1977,12,21
"4447","204446","Karina","Karner","U",NA,"GER",1978,2,9
"4448","204447","Antonela","Voina Timmerbeil","U",NA,"GER",1975,1,21
"4449","204448","Renata","Brito","U",NA,"BRA",1978,9,20
"4450","204449","Katerina","Stamatopoulou","U",NA,"GRE",1982,7,15
"4451","204450","Barbara","Rosenberger","U",NA,"GER",1982,3,3
"4452","204451","Asimina","Kaplani","U",NA,"GRE",1983,10,27
"4453","204452","Karin","Lusnic","U",NA,"SLO",1971,5,15
"4454","204453","Emanuela","Sangiorgi","U",NA,"ITA",1976,8,15
"4455","204454","Sandra","Costa Corral","U",NA,"ESP",1975,8,1
"4456","204455","Marina","Stets","U",NA,"BLR",1973,2,21
"4457","204456","Tamara","Kikaleishvili","U",NA,"GEO",1982,11,27
"4458","204457","Adriana","Ruiz","U",NA,"ESP",1982,12,10
"4459","204458","Helena","Sinitshin","U",NA,"ISR",1984,11,14
"4460","204459","Yael","Glitzenstein","U",NA,"ISR",1984,4,4
"4461","204460","Anne","Stueckle","U",NA,"GER",1978,2,8
"4462","204461","Vanessa","Caddick","R",NA,"GBR",1977,12,8
"4463","204462","Lidia","Lopez Companys","U",NA,"ESP",1983,10,23
"4464","204463","Sharon","Marin","U",NA,"ISR",1984,6,28
"4465","204464","Jheni","Osman","U",NA,"GBR",1979,1,7
"4466","204465","Susanne","Filipp","U",NA,"AUT",1979,8,14
"4467","204466","Coral","Silverstone","U",NA,"GBR",1980,8,7
"4468","204467","Ana","Sismondini","U",NA,"VEN",1983,3,11
"4469","204468","Annika","Bengtsson","U",NA,"SWE",1981,9,3
"4470","204469","Veronica","Rizhik Urteaga","U",NA,"ESP",1980,12,16
"4471","204470","Yin","Chen","U",NA,"CHN",1978,1,18
"4472","204471","An Qi","Ge","U",NA,"CHN",1976,5,21
"4473","204472","Ya Fang","Tsai","U",NA,"TPE",1978,11,26
"4474","204473","Qin","Yang","U",NA,"CHN",1980,3,16
"4475","204474","Susan","Cowan","U",NA,"AUS",1980,12,10
"4476","204475","Kylie","Hunt","U",NA,"AUS",1975,8,27
"4477","204476","Alison","Nash","U",NA,"CAN",1977,11,26
"4478","204477","Zsofia","Golopencza","U",NA,"HUN",1978,10,25
"4479","204478","Angie","Marik","U",NA,"AUS",1975,11,6
"4480","204479","Vanessa","Kendall","U",NA,"AUS",1977,9,16
"4481","204480","Kym","Hazzard","U",NA,"AUS",1975,10,4
"4482","204481","Kylie","Moulds","R",NA,"AUS",1978,2,27
"4483","204482","Alienor","Tricerri","U",NA,"SUI",1980,3,20
"4484","204483","Laura","Bao","R",NA,"SUI",1982,3,6
